STEMMING,tokenized_sents,polarity_score,polarity
ness barangkali free tanggal 31 agustus jam 10 pagi jadi muse model pakai up portofolio ku tenang dapat portofolio file foto amp makan fee transport non alam alam tidak apa jadi model makeup non hijab cont,"['ness', 'barangkali', 'free', 'tanggal', '31', 'agustus', 'jam', '10', 'pagi', 'jadi', 'muse', 'model', 'pakai', 'up', 'portofolio', 'ku', 'tenang', 'dapat', 'portofolio', 'file', 'foto', 'amp', 'makan', 'fee', 'transport', 'non', 'alam', 'alam', 'tidak', 'apa', 'jadi', 'model', 'makeup', 'non', 'hijab', 'cont']",8,1
ness pantura jam gin ramai tidak ya pulang pati btw cewek,"['ness', 'pantura', 'jam', 'gin', 'ramai', 'tidak', 'ya', 'pulang', 'pati', 'btw', 'cewek']",-9,-1
ness merem saja pikir tidak pacar orang orang kalau jadi nembaknya gimana ya,"['ness', 'merem', 'saja', 'pikir', 'tidak', 'pacar', 'orang', 'orang', 'kalau', 'jadi', 'nembaknya', 'gimana', 'ya']",-14,-1
unnesmenfess dm nder,"['unnesmenfess', 'dm', 'nder']",0,0
ness gimana ya badan capai tidak bisa tidur dari tadi muk nang saja,"['ness', 'gimana', 'ya', 'badan', 'capai', 'tidak', 'bisa', 'tidur', 'dari', 'tadi', 'muk', 'nang', 'saja']",-20,-1
ness mas dua pakai baju kuning burjo asep 5 jam 10an maapin teman ya mas makasih sudah difotoin tadu sempet bilang makasih,"['ness', 'mas', 'dua', 'pakai', 'baju', 'kuning', 'burjo', 'asep', '5', 'jam', '10an', 'maapin', 'teman', 'ya', 'mas', 'makasih', 'sudah', 'difotoin', 'tadu', 'sempet', 'bilang', 'makasih']",1,1
terimakasiii unnes,"['terimakasiii', 'unnes']",0,0
unnesmenfess itu unnes adaa tapi sekarang entah,"['unnesmenfess', 'itu', 'unnes', 'adaa', 'tapi', 'sekarang', 'entah']",-5,-1
jenniferpedraz cedemocratico marchamos millones que usted vendiera el paro al gobierno deh duque por eso la unnes y acress perdieron su fuerza en las siguientes movilizaciones no queremos a los politiqueros en las banderas deh lucha estudiantil,"['jenniferpedraz', 'cedemocratico', 'marchamos', 'millones', 'que', 'usted', 'vendiera', 'el', 'paro', 'al', 'gobierno', 'deh', 'duque', 'por', 'eso', 'la', 'unnes', 'y', 'acress', 'perdieron', 'su', 'fuerza', 'en', 'las', 'siguientes', 'movilizaciones', 'no', 'queremos', 'a', 'los', 'politiqueros', 'en', 'las', 'banderas', 'deh', 'lucha', 'estudiantil']",-3,-1
jamu tamu sing ndue kawasan unnes oreorasaeskrim gadingardhan r4vencl0wn https t co ursfazisfa,"['jamu', 'tamu', 'sing', 'ndue', 'kawasan', 'unnes', 'oreorasaeskrim', 'gadingardhan', 'r4vencl0wn', 'https', 't', 'co', 'ursfazisfa']",5,1
sejarah unnes pro cok skripsi 56 halaman ki yo opo https t co otm1mefvcg,"['sejarah', 'unnes', 'pro', 'cok', 'skripsi', '56', 'halaman', 'ki', 'yo', 'opo', 'https', 't', 'co', 'otm1mefvcg']",0,0
yang saya tahu dosen gaib unnes gedung c1,"['yang', 'saya', 'tahu', 'dosen', 'gaib', 'unnes', 'gedung', 'c1']",-13,-1
unnesmenfess ready kak,"['unnesmenfess', 'ready', 'kak']",1,1
ness anak seni rupa muka estetik si cowok anak seniiiii,"['ness', 'anak', 'seni', 'rupa', 'muka', 'estetik', 'si', 'cowok', 'anak', 'seniiiii']",4,1
ness tolong liat kucing kuuu https t co roapeiizdn,"['ness', 'tolong', 'liat', 'kucing', 'kuuu', 'https', 't', 'co', 'roapeiizdn']",-1,-1
unnesmenfess https t co qxqbg0xdpi,"['unnesmenfess', 'https', 't', 'co', 'qxqbg0xdpi']",0,0
bl00donyourlips daerah unnes hanya tahu dteko abang suka makan nya,"['bl00donyourlips', 'daerah', 'unnes', 'hanya', 'tahu', 'dteko', 'abang', 'suka', 'makan', 'nya']",-1,-1
unnesmenfess unnes dm saja,"['unnesmenfess', 'unnes', 'dm', 'saja']",-3,-1
ness anjem mas ready dongg,"['ness', 'anjem', 'mas', 'ready', 'dongg']",1,1
ness kangen mama main rumah mama usir terus papa rumah,"['ness', 'kangen', 'mama', 'main', 'rumah', 'mama', 'usir', 'terus', 'papa', 'rumah']",4,1
unnesmenfess taunyaa daerah tembalang plisss jauhh daerah unnes yaa,"['unnesmenfess', 'taunyaa', 'daerah', 'tembalang', 'plisss', 'jauhh', 'daerah', 'unnes', 'yaa']",0,0
info tukang pijit sekitar unnes pls,"['info', 'tukang', 'pijit', 'sekitar', 'unnes', 'pls']",-8,-1
diamanahin suruh up ness,"['diamanahin', 'suruh', 'up', 'ness']",-2,-1
ness info jasa angkut yang murah roda 3 sih barang tidak serta harga ya ness,"['ness', 'info', 'jasa', 'angkut', 'yang', 'murah', 'roda', '3', 'sih', 'barang', 'tidak', 'serta', 'harga', 'ya', 'ness']",-7,-1
aktif benar ini base kalau malam wkwk ness,"['aktif', 'benar', 'ini', 'base', 'kalau', 'malam', 'wkwk', 'ness']",-5,-1
info laka cempaka ness,"['info', 'laka', 'cempaka', 'ness']",-3,-1
ness beli kartu uno sekitar unice mana ya,"['ness', 'beli', 'kartu', 'uno', 'sekitar', 'unice', 'mana', 'ya']",-1,-1
ness jajan yang buka jam gin ya,"['ness', 'jajan', 'yang', 'buka', 'jam', 'gin', 'ya']",-5,-1
ness cempaka pecel biru ramai ramai yaa celaka kah sampai mobil pickup datang,"['ness', 'cempaka', 'pecel', 'biru', 'ramai', 'ramai', 'yaa', 'celaka', 'kah', 'sampai', 'mobil', 'pickup', 'datang']",-14,-1
ness tidak sih kalau kesal sudah pindah kos saja dimintain iur listrik wifi pakai tidak dalih nanti kena denda,"['ness', 'tidak', 'sih', 'kalau', 'kesal', 'sudah', 'pindah', 'kos', 'saja', 'dimintain', 'iur', 'listrik', 'wifi', 'pakai', 'tidak', 'dalih', 'nanti', 'kena', 'denda']",-22,-1
ness yang jual salad buah enak pagi2 sudah buka mana ya makasih,"['ness', 'yang', 'jual', 'salad', 'buah', 'enak', 'pagi2', 'sudah', 'buka', 'mana', 'ya', 'makasih']",1,1
ness suddenly ingin martabak gurih asin beli or tidak ya enakny,"['ness', 'suddenly', 'ingin', 'martabak', 'gurih', 'asin', 'beli', 'or', 'tidak', 'ya', 'enakny']",-5,-1
ness jam gin yang jual martabak tidak yaa ingin yang dijastipin fee,"['ness', 'jam', 'gin', 'yang', 'jual', 'martabak', 'tidak', 'yaa', 'ingin', 'yang', 'dijastipin', 'fee']",-14,-1
gampang cari kos unnes,"['gampang', 'cari', 'kos', 'unnes']",-2,-1
ness sudah nyenggol motor bodynya rusak ganti rugi minta stengahan lagi pakai bawa kalimat musibah gakda yang tahu maaf y misuh naklum lagi kesal,"['ness', 'sudah', 'nyenggol', 'motor', 'bodynya', 'rusak', 'ganti', 'rugi', 'minta', 'stengahan', 'lagi', 'pakai', 'bawa', 'kalimat', 'musibah', 'gakda', 'yang', 'tahu', 'maaf', 'y', 'misuh', 'naklum', 'lagi', 'kesal']",-29,-1
ness yang pre kipas angin stand,"['ness', 'yang', 'pre', 'kipas', 'angin', 'stand']",-5,-1
saran facial murah moga ness,"['saran', 'facial', 'murah', 'moga', 'ness']",1,1
ness cewek mas yang open jastip maless pakai krudung berapa drop fee ya,"['ness', 'cewek', 'mas', 'yang', 'open', 'jastip', 'maless', 'pakai', 'krudung', 'berapa', 'drop', 'fee', 'ya']",-11,-1
2024 unnes tolong terima,"['2024', 'unnes', 'tolong', 'terima']",0,0
ness kuliah jalur semangat orang ya,"['ness', 'kuliah', 'jalur', 'semangat', 'orang', 'ya']",-1,-1
ness tahu tidak ya yang jual wedang kembang semarang idam sangat syukur2 daerah unnes,"['ness', 'tahu', 'tidak', 'ya', 'yang', 'jual', 'wedang', 'kembang', 'semarang', 'idam', 'sangat', 'syukur2', 'daerah', 'unnes']",-7,-1
unnesmenfess ready kak,"['unnesmenfess', 'ready', 'kak']",1,1
ness yang preloved in celana jeans pendek rok pendek gakk,"['ness', 'yang', 'preloved', 'in', 'celana', 'jeans', 'pendek', 'rok', 'pendek', 'gakk']",-7,-1
ness tidak ngerti lagi konsep orang yang jastip tapi sudah kasih fee,"['ness', 'tidak', 'ngerti', 'lagi', 'konsep', 'orang', 'yang', 'jastip', 'tapi', 'sudah', 'kasih', 'fee']",-11,-1
unnesmenfess waduhhh,"['unnesmenfess', 'waduhhh']",0,0
ness jastip dongg nuker uang 100 ribu 2 50 ribu 4 drop fee,"['ness', 'jastip', 'dongg', 'nuker', 'uang', '100', 'ribu', '2', '50', 'ribu', '4', 'drop', 'fee']",-3,-1
ness kosku wifi sinyal tidak sampai kamar pakai data seluler baik ikut bayar tidak yaa,"['ness', 'kosku', 'wifi', 'sinyal', 'tidak', 'sampai', 'kamar', 'pakai', 'data', 'seluler', 'baik', 'ikut', 'bayar', 'tidak', 'yaa']",-18,-1
ness lihat tidak bulat mana cilok begitu yang liat tidak jajan apaa ya jajan gitu2,"['ness', 'lihat', 'tidak', 'bulat', 'mana', 'cilok', 'begitu', 'yang', 'liat', 'tidak', 'jajan', 'apaa', 'ya', 'jajan', 'gitu2']",-17,-1
rekomendasi seafood unnes enak tidak sih,"['rekomendasi', 'seafood', 'unnes', 'enak', 'tidak', 'sih']",-4,-1
ness jastip yang ready 2 7k,"['ness', 'jastip', 'yang', 'ready', '2', '7k']",-4,-1
ness mas jual es cup begitu tidak yaa jam seginii kaya good day gitu2 kalau jastipp dongg,"['ness', 'mas', 'jual', 'es', 'cup', 'begitu', 'tidak', 'yaa', 'jam', 'seginii', 'kaya', 'good', 'day', 'gitu2', 'kalau', 'jastipp', 'dongg']",0,0
kyivv indosupporter memang pas fifa matchday liga libur 2 minggu,"['kyivv', 'indosupporter', 'memang', 'pas', 'fifa', 'matchday', 'liga', 'libur', '2', 'minggu']",8,1
infoness permisiii anak fk yang liat kunci gaa sekitar pustaka ciri ciri kunci 2 gantung kaya gin bentuk yang warna ijoo kalau yang liat boleehh nongoll rep tidak yaaa terima kasih https t co a6fr1mqhll,"['infoness', 'permisiii', 'anak', 'fk', 'yang', 'liat', 'kunci', 'gaa', 'sekitar', 'pustaka', 'ciri', 'ciri', 'kunci', '2', 'gantung', 'kaya', 'gin', 'bentuk', 'yang', 'warna', 'ijoo', 'kalau', 'yang', 'liat', 'boleehh', 'nongoll', 'rep', 'tidak', 'yaaa', 'terima', 'kasih', 'https', 't', 'co', 'a6fr1mqhll']",-9,-1
ness mula billiard ayok main bareng jam saja cewek btw,"['ness', 'mula', 'billiard', 'ayok', 'main', 'bareng', 'jam', 'saja', 'cewek', 'btw']",-6,-1
ness sender semester 5 sudah nang,"['ness', 'sender', 'semester', '5', 'sudah', 'nang']",-4,-1
ness buku buku rumil ebooknya tuh website ya tidak pakai koneksi btw sender maba,"['ness', 'buku', 'buku', 'rumil', 'ebooknya', 'tuh', 'website', 'ya', 'tidak', 'pakai', 'koneksi', 'btw', 'sender', 'maba']",-7,-1
ness kenapa orang yang baikin tuh tidak sadar ya sudah pinjemin tapi rasa hak milik,"['ness', 'kenapa', 'orang', 'yang', 'baikin', 'tuh', 'tidak', 'sadar', 'ya', 'sudah', 'pinjemin', 'tapi', 'rasa', 'hak', 'milik']",-9,-1
unnesmenfess guru pamongkuu ku kasih mukenaa,"['unnesmenfess', 'guru', 'pamongkuu', 'ku', 'kasih', 'mukenaa']",4,1
yang anak didik ppl saranin kado guru pamong gumong kain batik ness,"['yang', 'anak', 'didik', 'ppl', 'saranin', 'kado', 'guru', 'pamong', 'gumong', 'kain', 'batik', 'ness']",0,0
ness info kos bulan dongg urgent sudah usir,"['ness', 'info', 'kos', 'bulan', 'dongg', 'urgent', 'sudah', 'usir']",-7,-1
ness jastip 3k ready tidak antri yaa drop saya bawah,"['ness', 'jastip', '3k', 'ready', 'tidak', 'antri', 'yaa', 'drop', 'saya', 'bawah']",-10,-1
unnesmenfess ready anjem 24 jam harga murah riah driver ramah minat pc https t co tsqffwl7gk,"['unnesmenfess', 'ready', 'anjem', '24', 'jam', 'harga', 'murah', 'riah', 'driver', 'ramah', 'minat', 'pc', 'https', 't', 'co', 'tsqffwl7gk']",14,1
ness info anjem besok jam 5 sore tawang unnes,"['ness', 'info', 'anjem', 'besok', 'jam', '5', 'sore', 'tawang', 'unnes']",-3,-1
ness senderr males bgtt nugassss gimanaa,"['ness', 'senderr', 'males', 'bgtt', 'nugassss', 'gimanaa']",-4,-1
ness yakinin sender kalau putus pacar yang sudah 9 bareng tuh tidak apa hujat sender pacar,"['ness', 'yakinin', 'sender', 'kalau', 'putus', 'pacar', 'yang', 'sudah', '9', 'bareng', 'tuh', 'tidak', 'apa', 'hujat', 'sender', 'pacar']",-22,-1
ness drket burjo raya gaa anjem burjo raya gg mangga dongg,"['ness', 'drket', 'burjo', 'raya', 'gaa', 'anjem', 'burjo', 'raya', 'gg', 'mangga', 'dongg']",0,0
ness please help me makasih https t co yysa47vcmh,"['ness', 'please', 'help', 'me', 'makasih', 'https', 't', 'co', 'yysa47vcmh']",3,1
unnesmenfess aksi reaksi sih mari jaga saja ya kawan2 yang cowok jaga pandang sopan yang cewek jaga tampil,"['unnesmenfess', 'aksi', 'reaksi', 'sih', 'mari', 'jaga', 'saja', 'ya', 'kawan2', 'yang', 'cowok', 'jaga', 'pandang', 'sopan', 'yang', 'cewek', 'jaga', 'tampil']",-15,-1
ness info kost cewek daerah sampang kelud,"['ness', 'info', 'kost', 'cewek', 'daerah', 'sampang', 'kelud']",-3,-1
ness malam malam gin bm makan roti beli mana yahh roti bakar,"['ness', 'malam', 'malam', 'gin', 'bm', 'makan', 'roti', 'beli', 'mana', 'yahh', 'roti', 'bakar']",-5,-1
ness rekomendasiin mi gag enak sender mauu beli hanya bingung varian enakk,"['ness', 'rekomendasiin', 'mi', 'gag', 'enak', 'sender', 'mauu', 'beli', 'hanya', 'bingung', 'varian', 'enakk']",-4,-1
ness alfamart banar buka sampai malam tidak si alfa buka sampai malam pusing ingin duduk duduk alfa sama makan jajan pas sudah sepiiii,"['ness', 'alfamart', 'banar', 'buka', 'sampai', 'malam', 'tidak', 'si', 'alfa', 'buka', 'sampai', 'malam', 'pusing', 'ingin', 'duduk', 'duduk', 'alfa', 'sama', 'makan', 'jajan', 'pas', 'sudah', 'sepiiii']",-8,-1
ness tahu tidak harga salon kwu berapa yh pricelistny,"['ness', 'tahu', 'tidak', 'harga', 'salon', 'kwu', 'berapa', 'yh', 'pricelistny']",-2,-1
ness hai kakak kakak rekomendasi saja makan malam hehe maba nii,"['ness', 'hai', 'kakak', 'kakak', 'rekomendasi', 'saja', 'makan', 'malam', 'hehe', 'maba', 'nii']",-4,-1
ness sender makan malam lapar saran makan enak tidak ya jam gin buka,"['ness', 'sender', 'makan', 'malam', 'lapar', 'saran', 'makan', 'enak', 'tidak', 'ya', 'jam', 'gin', 'buka']",-11,-1
ness taun yang jam tangan ilang akhir2 liat story mantan teman kos pakai jam tangan banget2 jam tangan https t co 1qomeelypg,"['ness', 'taun', 'yang', 'jam', 'tangan', 'ilang', 'akhir2', 'liat', 'story', 'mantan', 'teman', 'kos', 'pakai', 'jam', 'tangan', 'banget2', 'jam', 'tangan', 'https', 't', 'co', '1qomeelypg']",-14,-1
ness info sewa latih dance begitu mana ya pricelistnya,"['ness', 'info', 'sewa', 'latih', 'dance', 'begitu', 'mana', 'ya', 'pricelistnya']",-2,-1
ness gimbab ind buka tidak ya,"['ness', 'gimbab', 'ind', 'buka', 'tidak', 'ya']",-5,-1
kenapa ye makan kantin unnes maaf apkh rekomen tuk kantin https t co nlwwibor3i,"['kenapa', 'ye', 'makan', 'kantin', 'unnes', 'maaf', 'apkh', 'rekomen', 'tuk', 'kantin', 'https', 't', 'co', 'nlwwibor3i']",-9,-1
ness nasi goreng gerobak bms patemon tidak si jam gin,"['ness', 'nasi', 'goreng', 'gerobak', 'bms', 'patemon', 'tidak', 'si', 'jam', 'gin']",-8,-1
ness burjo yang jual mie gaga makan sana mana ya daerah unice,"['ness', 'burjo', 'yang', 'jual', 'mie', 'gaga', 'makan', 'sana', 'mana', 'ya', 'daerah', 'unice']",-4,-1
curhat mahasiswa semester tua ness https t co kgcd3jmmnj,"['curhat', 'mahasiswa', 'semester', 'tua', 'ness', 'https', 't', 'co', 'kgcd3jmmnj']",-5,-1
ness butuh meja ajar portable sekarang yang preloved in tidak,"['ness', 'butuh', 'meja', 'ajar', 'portable', 'sekarang', 'yang', 'preloved', 'in', 'tidak']",-17,-1
anothertalitaa kamu anjemin saja nes unnes,"['anothertalitaa', 'kamu', 'anjemin', 'saja', 'nes', 'unnes']",-3,-1
nasgorpadmanaba unnes,"['nasgorpadmanaba', 'unnes']",0,0
ness kepakno tuh warung makan deh liat nama menfess langsung keinget sayap kebhinekaan,"['ness', 'kepakno', 'tuh', 'warung', 'makan', 'deh', 'liat', 'nama', 'menfess', 'langsung', 'keinget', 'sayap', 'kebhinekaan']",-2,-1
ness yang cp tukang pijet friendly cewek yang kos,"['ness', 'yang', 'cp', 'tukang', 'pijet', 'friendly', 'cewek', 'yang', 'kos']",-12,-1
ness tahu tidak kalau jual beras mana sender pulang beras lumayan makasii,"['ness', 'tahu', 'tidak', 'kalau', 'jual', 'beras', 'mana', 'sender', 'pulang', 'beras', 'lumayan', 'makasii']",-6,-1
ness anjem tapi rumil,"['ness', 'anjem', 'tapi', 'rumil']",0,0
hallo sobat boab unnes unnes inap lohh letak gedung kewirausahaan unnes lantai 4 nama kwu dormitory so sobat sewa giat wisuda kunjung giat unnes dan lain sekali booking book now 085290556615 https t co nsumglgllf,"['hallo', 'sobat', 'boab', 'unnes', 'unnes', 'inap', 'lohh', 'letak', 'gedung', 'kewirausahaan', 'unnes', 'lantai', '4', 'nama', 'kwu', 'dormitory', 'so', 'sobat', 'sewa', 'giat', 'wisuda', 'kunjung', 'giat', 'unnes', 'dan', 'lain', 'sekali', 'booking', 'book', 'now', '085290556615', 'https', 't', 'co', 'nsumglgllf']",3,1
blue moon tunggu warna biru muncul tidak biru benar,"['blue', 'moon', 'tunggu', 'warna', 'biru', 'muncul', 'tidak', 'biru', 'benar']",-10,-1
ness kepakno buka sampai jam berapa,"['ness', 'kepakno', 'buka', 'sampai', 'jam', 'berapa']",-2,-1
bolak jastip tumbang terima kasih sangatt kakak kakak jastip,"['bolak', 'jastip', 'tumbang', 'terima', 'kasih', 'sangatt', 'kakak', 'kakak', 'jastip']",-1,-1
ness yang jual bandeng itu mana brapaan,"['ness', 'yang', 'jual', 'bandeng', 'itu', 'mana', 'brapaan']",-6,-1
xyzabcdefghilu unnesmenfess mjb kak mau tanya kalau buka repository unnes tuh uname sama password pakai ya nim email kah,"['xyzabcdefghilu', 'unnesmenfess', 'mjb', 'kak', 'mau', 'tanya', 'kalau', 'buka', 'repository', 'unnes', 'tuh', 'uname', 'sama', 'password', 'pakai', 'ya', 'nim', 'email', 'kah']",6,1
ness butuh anjem sangat tolong area unnes,"['ness', 'butuh', 'anjem', 'sangat', 'tolong', 'area', 'unnes']",-9,-1
fitrahdharul gogo74070675957 bospurwa aniesbaswedan abwnews agusyudhoyono suryapaloh51 syaikhu ahmad nasdem pksejahtera pdemokrat dpp partaiummat pemudakabah panglimapemuda1 pemudanasdem pppemudamu mjl rasulullah aniesmania undip univ indonesia unpad ugmyogyakarta ub official unair official unj official upiofficial univ buka paramadina usakti official itbofficial bemfe unnes anak unhas official unand goal id dpr ri mprgoid dpdri bpkri kpk ri kejaksaanri simak mblung gembluuuung https t co gurpt2c2tx,"['fitrahdharul', 'gogo74070675957', 'bospurwa', 'aniesbaswedan', 'abwnews', 'agusyudhoyono', 'suryapaloh51', 'syaikhu', 'ahmad', 'nasdem', 'pksejahtera', 'pdemokrat', 'dpp', 'partaiummat', 'pemudakabah', 'panglimapemuda1', 'pemudanasdem', 'pppemudamu', 'mjl', 'rasulullah', 'aniesmania', 'undip', 'univ', 'indonesia', 'unpad', 'ugmyogyakarta', 'ub', 'official', 'unair', 'official', 'unj', 'official', 'upiofficial', 'univ', 'buka', 'paramadina', 'usakti', 'official', 'itbofficial', 'bemfe', 'unnes', 'anak', 'unhas', 'official', 'unand', 'goal', 'id', 'dpr', 'ri', 'mprgoid', 'dpdri', 'bpkri', 'kpk', 'ri', 'kejaksaanri', 'simak', 'mblung', 'gembluuuung', 'https', 't', 'co', 'gurpt2c2tx']",-2,-1
undipmenfess ayo nder marvel tapi saya unnes,"['undipmenfess', 'ayo', 'nder', 'marvel', 'tapi', 'saya', 'unnes']",1,1
ness sender smt 5 smt dapat matkul yang lumayan berat tapi sender juga volunteer panitia mending fokus kuliah ya tapi smt join,"['ness', 'sender', 'smt', '5', 'smt', 'dapat', 'matkul', 'yang', 'lumayan', 'berat', 'tapi', 'sender', 'juga', 'volunteer', 'panitia', 'mending', 'fokus', 'kuliah', 'ya', 'tapi', 'smt', 'join']",-2,-1
